STEP,PROPERTYLOCATION,EVENTDATE,RESVNAMESOURCEID,USERID,STEP_OUTCOME
CHECKIN_INITIATED,WLV,2025-04-04,28996826.00000,20265350,
CHECKIN_INITIATED,WLV,2025-03-15,28981317.00000,9731602,
CHECKIN_INITIATED,WLV,2025-07-12,29347276.00000,11507884,
CHECKIN_INITIATED,WLV,2025-06-17,29244208.00000,16141726,
CHECKIN_INITIATED,WLV,2025-03-11,28993882.00000,9684610,
CHECKIN_INITIATED,WLV,2025-06-08,29215651.00000,15808879,
CHECKIN_INITIATED,WLV,2025-06-08,29188382.00000,20433443,
CHECKIN_INITIATED,WLV,2025-06-30,29318629.00000,5309044,
CHECKIN_INITIATED,WLV,2025-07-19,29306743.00000,6713802,
CHECKIN_INITIATED,WLV,2025-06-20,29151398.00000,7247540,
CHECKIN_INITIATED,WLV,2025-02-22,28863030.00000,20139953,
CHECKIN_INITIATED,WLV,2025-06-20,29072218.00000,15950905,
CHECKIN_INITIATED,WLV,2025-03-23,28910441.00000,15829011,
CHECKIN_INITIATED,WLV,2025-07-15,29193745.00000,17287894,
CHECKIN_INITIATED,WLV,2025-07-26,29413769.00000,20650649,
CHECKIN_INITIATED,WLV,2025-06-07,29185837.00000,10006502,
CHECKIN_INITIATED,WLV,2025-06-28,29281069.00000,20535810,
CHECKIN_INITIATED,WLV,2025-01-17,28813855.00000,19471955,
CHECKIN_INITIATED,WLV,2025-07-02,29324863.00000,20409722,
CHECKIN_INITIATED,WLV,2025-07-27,29313419.00000,5408908,
CHECKIN_INITIATED,WLV,2025-01-20,28756570.00000,20139969,
CHECKIN_INITIATED,WLV,2025-07-28,29308801.00000,5587476,
CHECKIN_INITIATED,WLV,2025-05-29,29226651.00000,3250225,
CHECKIN_INITIATED,WLV,2025-02-01,28872218.00000,678362,
CHECKIN_INITIATED,WLV,2025-06-19,29286465.00000,9895148,
CHECKIN_INITIATED,WLV,2025-03-21,28813856.00000,7946502,
CHECKIN_INITIATED,WLV,2025-07-14,29262242.00000,7785672,
